Index,CPU,GPU,RAM
532,4.2,0.0,71.7
533,4.2,0.0,71.8
534,4.2,0.0,71.7
535,4.2,0.0,71.7
536,4.2,0.0,71.7
537,12.5,0.0,71.7
538,0.0,0.0,71.7
539,12.5,0.0,71.7
540,4.2,0.0,71.7
541,0.0,0.0,71.7
542,4.2,0.0,71.7
543,4.2,0.0,71.7
544,0.0,0.0,71.8
545,4.2,0.0,71.7
546,0.0,0.0,71.7
547,8.3,0.0,71.7
548,8.3,0.0,71.7
549,4.2,0.0,71.8
550,4.2,0.0,71.8
551,4.2,0.0,71.7
552,0.0,0.0,71.7
553,0.0,0.0,71.7
554,8.3,0.0,71.7
555,8.7,0.0,71.7
556,4.5,0.0,71.7
557,0.0,0.0,71.7
558,4.8,0.0,71.8
559,3.8,0.0,71.8
560,0.0,0.0,71.7
561,4.3,0.0,71.7
562,3.8,0.0,71.7
563,0.0,0.0,71.8
564,9.5,0.0,71.7
565,0.0,0.0,71.7
566,10.0,0.0,71.7
567,10.0,0.0,71.8
568,0.0,0.0,71.8
569,4.2,0.0,71.7
570,0.0,0.0,71.7
571,4.2,0.0,71.7
572,0.0,0.0,71.8
573,4.2,0.0,71.8
574,4.2,0.0,71.8
575,16.7,0.0,71.8
576,16.7,0.0,72.0
577,9.7,0.0,71.9
578,12.1,0.0,72.0
579,21.6,0.0,72.1
580,9.3,0.0,72.0
581,68.8,0.0,72.1
582,12.1,0.0,71.9
583,12.5,0.0,71.9
584,0.0,0.0,72.0
585,0.0,0.0,72.0
586,4.8,0.0,72.0
587,0.0,0.0,72.0
588,12.0,0.0,72.0
589,3.4,0.0,72.0
590,0.0,0.0,72.0
591,0.0,0.0,72.0
592,4.2,0.0,72.0
593,12.0,0.0,72.0
594,4.2,0.0,72.0
595,0.0,0.0,72.0
596,4.2,0.0,72.0
597,4.2,0.0,72.0
598,12.5,0.0,72.0
599,0.0,0.0,72.0
600,8.3,0.0,72.0
601,0.0,0.0,72.0
602,0.0,0.0,72.0
603,4.2,0.0,72.0
604,0.0,0.0,72.0
605,0.0,0.0,72.0
606,0.0,0.0,72.0
607,0.0,0.0,72.0
608,4.2,0.0,72.0
609,5.3,0.0,72.0
610,6.9,0.0,72.0
611,4.2,0.0,72.0
612,8.3,0.0,72.0
613,0.0,0.0,72.0
614,0.0,0.0,72.0
615,8.3,0.0,72.0
616,4.2,0.0,72.0
617,0.0,0.0,72.0
618,5.3,0.0,72.0
619,3.4,0.0,72.0
620,9.5,0.0,72.0
621,4.5,0.0,72.0
622,0.0,0.0,72.0
623,0.0,0.0,72.0
624,0.0,0.0,72.0
625,16.1,0.0,72.0
626,9.1,0.0,72.0
