                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.274,                0.72507,                 1.1786,                 0.8994,                0.84095,                0.91672,                0.56604,                 1.3789,                0.67635,                 1.2673,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.2591,                  0.715,                 1.1698,                0.88258,                 0.8577,                0.91986,                0.56609,                 1.3743,                0.66761,                 1.2586,               0.008416,               0.008416,               0.008416
                     83,                 1.2612,                0.72669,                  1.171,                0.87676,                 0.8705,                0.92428,                 0.5663,                 1.3795,                0.66671,                 1.2596,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.2629,                0.71439,                 1.1679,                0.88052,                0.86798,                0.92373,                0.56619,                 1.3764,                0.65869,                 1.2585,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.2556,                0.72284,                 1.1645,                0.89581,                0.86204,                0.92254,                0.56622,                 1.3767,                0.65039,                 1.2562,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.2616,                0.71655,                 1.1653,                0.88523,                0.86875,                0.92456,                0.56563,                 1.3856,                 0.6557,                  1.264,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.2447,                0.70604,                 1.1637,                0.87533,                0.86393,                0.92289,                0.56896,                 1.3732,                 0.6606,                  1.261,               0.008317,               0.008317,               0.008317
                     88,                 1.2459,                0.70782,                 1.1588,                0.87784,                0.86487,                0.91822,                0.56827,                 1.3654,                0.65955,                 1.2542,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.2551,                0.70255,                 1.1625,                0.88548,                0.86149,                0.91922,                0.56795,                  1.368,                0.65532,                 1.2551,              0.0082774,              0.0082774,              0.0082774
                     90,                  1.246,                0.70003,                 1.1578,                0.89417,                0.85713,                0.92354,                0.57177,                 1.3714,                0.65734,                 1.2598,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.2609,                0.71467,                 1.1719,                0.89573,                0.84279,                0.92259,                0.57288,                 1.3711,                0.66416,                 1.2626,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.2491,                0.70795,                 1.1661,                0.89358,                0.85626,                0.92209,                0.57292,                 1.3653,                0.66115,                  1.261,               0.008218,               0.008218,               0.008218
                     93,                   1.23,                0.70094,                 1.1525,                0.88782,                 0.8608,                0.92009,                0.57129,                 1.3705,                0.65679,                 1.2605,              0.0081982,              0.0081982,              0.0081982
